               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13316,              0.3551,                   0,           0.0033333,           0.0012407,           0.0016908,          0.00050724,             0.13267,             0.48109,                   0,              0.0991,              0.0001,              0.0001
                   1,             0.12952,             0.31354,                   0,           0.0033333,           0.0012407,           0.0017607,          0.00052822,             0.13216,              0.4801,                   0,            0.097297,          0.00029709,          0.00029709
                   2,             0.13091,             0.31751,                   0,           0.0033333,           0.0012407,           0.0023663,          0.00047327,             0.13132,             0.48512,                   0,             0.09549,          0.00049029,          0.00049029
                   3,              0.1327,             0.26075,                   0,           0.0033333,           0.0012407,           0.0033187,          0.00066374,             0.13032,             0.49016,                   0,             0.09368,          0.00067962,          0.00067962
                   4,             0.13139,             0.31739,                   0,           0.0078301,           0.0012407,           0.0033187,          0.00033187,              0.1291,             0.49892,                   0,            0.091865,          0.00086506,          0.00086506
                   5,              0.1286,             0.34236,                   0,           0.0066667,           0.0024814,           0.0049749,          0.00049749,             0.12764,             0.50843,                   0,            0.090047,           0.0010466,           0.0010466
                   6,             0.12826,             0.32818,                   0,           0.0033333,           0.0012407,           0.0024854,          0.00024854,             0.12592,             0.51807,                   0,            0.088224,           0.0012243,           0.0012243
                   7,             0.12786,             0.27468,                   0,                   0,                   0,                   0,                   0,             0.12429,             0.52258,                   0,            0.086398,           0.0013981,           0.0013981
                   8,             0.12537,             0.23274,                   0,           0.0033333,           0.0012407,           0.0016806,          0.00016806,             0.12381,             0.52498,                   0,            0.084568,            0.001568,            0.001568
                   9,              0.1247,             0.28203,                   0,                0.02,           0.0074442,            0.010081,           0.0021806,             0.12332,             0.52968,                   0,            0.082734,            0.001734,            0.001734
                  10,             0.12568,             0.26308,                   0,            0.036667,            0.013648,            0.018643,           0.0047249,             0.12296,             0.53146,                   0,            0.080896,           0.0018962,           0.0018962
                  11,             0.12678,             0.30301,                   0,            0.046667,             0.01737,            0.023964,           0.0059628,             0.12242,             0.53597,                   0,            0.079054,           0.0020544,           0.0020544
                  12,             0.12313,              0.2652,                   0,            0.086667,            0.032258,            0.046222,           0.0087636,             0.12198,             0.54122,                   0,            0.077209,           0.0022088,           0.0022088
                  13,             0.12195,             0.29083,                   0,             0.13333,            0.049628,             0.07248,            0.015208,             0.12179,             0.54503,                   0,            0.075359,           0.0023593,           0.0023593
                  14,             0.12244,             0.29998,                   0,             0.17667,            0.065757,            0.098005,            0.017972,             0.12101,             0.54816,                   0,            0.073506,           0.0025059,           0.0025059
                  15,             0.12102,             0.29685,                   0,                0.17,            0.063275,            0.094527,            0.016018,             0.12008,             0.55039,                   0,            0.071649,           0.0026487,           0.0026487
                  16,             0.11952,             0.29258,                   0,             0.14667,            0.054591,            0.079956,            0.014169,             0.11921,             0.54992,                   0,            0.069788,           0.0027875,           0.0027875
                  17,             0.12032,             0.25449,                   0,             0.13333,            0.049628,            0.071388,            0.016356,             0.11853,             0.54717,                   0,            0.067922,           0.0029225,           0.0029225
                  18,             0.11967,             0.28138,                   0,             0.11667,            0.043424,            0.061607,            0.014002,              0.1174,             0.54218,                   0,            0.066054,           0.0030536,           0.0030536
                  19,             0.11995,             0.28281,                   0,                0.12,            0.044665,            0.063725,            0.014235,             0.11865,             0.54065,                   0,            0.064181,           0.0031808,           0.0031808
                  20,             0.12058,             0.31353,                   0,             0.11333,            0.042184,            0.059638,            0.015958,             0.11874,             0.55906,                   0,            0.062304,           0.0033041,           0.0033041
                  21,             0.11638,             0.37721,                   0,                 0.1,            0.037221,             0.05313,            0.012147,             0.12001,              0.5524,                   0,            0.060424,           0.0034236,           0.0034236
                  22,             0.11767,             0.31818,                   0,             0.12333,            0.045906,            0.065628,            0.011752,             0.11784,             0.59359,                   0,            0.058539,           0.0035391,           0.0035391
                  23,             0.11828,             0.34754,                   0,             0.10333,            0.038462,            0.055043,            0.010677,             0.11868,             0.60501,                   0,            0.056651,           0.0036508,           0.0036508
                  24,             0.11794,             0.34437,                   0,                0.13,            0.048387,            0.069593,            0.015039,              0.1199,             0.58747,                   0,            0.054759,           0.0037586,           0.0037586
                  25,             0.11319,             0.26928,                   0,             0.14333,             0.05335,            0.078161,            0.016924,             0.12011,              0.5496,                   0,            0.052862,           0.0038625,           0.0038625
                  26,             0.11651,             0.29003,                   0,             0.12667,            0.047146,            0.067947,            0.013913,             0.11788,             0.56005,                   0,            0.050963,           0.0039625,           0.0039625
                  27,             0.11515,             0.32249,                   0,             0.12667,            0.047146,            0.067947,            0.013913,             0.11788,             0.56005,                   0,            0.049059,           0.0040587,           0.0040587
                  28,             0.11169,             0.32366,                   0,                0.14,            0.052109,            0.074435,            0.016957,             0.11706,             0.56488,                   0,            0.047151,           0.0041509,           0.0041509
                  29,             0.11394,             0.40878,                   0,             0.14667,            0.054591,            0.082087,             0.01883,             0.11648,             0.68565,                   0,            0.045239,           0.0042393,           0.0042393
                  30,             0.11422,             0.31331,                   0,             0.14667,            0.054591,            0.082087,             0.01883,             0.11648,             0.68565,                   0,            0.043324,           0.0043238,           0.0043238
                  31,             0.11842,             0.35497,                   0,                0.18,            0.066998,             0.10274,            0.023419,             0.11566,             0.64296,                   0,            0.041404,           0.0044044,           0.0044044
                  32,              0.1144,             0.38707,                   0,             0.22508,            0.098015,            0.087808,            0.019575,             0.11397,             0.61205,                   0,            0.039481,           0.0044812,           0.0044812
                  33,             0.10962,             0.31521,                   0,             0.25333,            0.094293,             0.14155,            0.032036,             0.11397,             0.61205,                   0,            0.037554,            0.004554,            0.004554
                  34,             0.11203,             0.31754,                   0,             0.27667,             0.10298,             0.16394,            0.041015,             0.11179,             0.59418,                   0,            0.035623,            0.004623,            0.004623
                  35,             0.11113,             0.26734,                   0,             0.20333,            0.075682,             0.11642,            0.025899,             0.11001,             0.60255,                   0,            0.033688,           0.0046881,           0.0046881
                  36,             0.10777,             0.40761,                   0,             0.20333,            0.075682,             0.11642,            0.025899,             0.11001,             0.60255,                   0,            0.031749,           0.0047493,           0.0047493
                  37,             0.10848,             0.30687,                   0,             0.21811,            0.099256,            0.092898,            0.021842,             0.10896,              0.5904,                   0,            0.029807,           0.0048066,           0.0048066
                  38,              0.1064,             0.30246,                   0,             0.23647,              0.1072,             0.10005,            0.025146,             0.10774,             0.61276,                   0,             0.02786,           0.0048601,           0.0048601
                  39,             0.10955,             0.29647,                   0,             0.23647,              0.1072,             0.10005,            0.025146,             0.10774,             0.61276,                   0,             0.02591,           0.0049096,           0.0049096
                  40,             0.10628,             0.32851,                   0,             0.23724,             0.10918,             0.10241,            0.025126,             0.10629,             0.64656,                   0,            0.023955,           0.0049553,           0.0049553
                  41,             0.10653,             0.32823,                   0,             0.20166,             0.10422,            0.098743,             0.02591,             0.10512,             0.63016,                   0,            0.021997,           0.0049971,           0.0049971
                  42,               0.107,             0.34828,                   0,             0.20166,             0.10422,            0.098743,             0.02591,             0.10512,             0.63016,                   0,            0.020035,            0.005035,            0.005035
                  43,             0.10593,             0.28653,                   0,              0.2468,             0.12407,             0.12651,            0.030982,             0.10391,             0.62927,                   0,            0.018069,            0.005069,            0.005069
                  44,              0.1071,             0.37227,                   0,              0.2468,             0.12407,             0.12651,            0.030982,             0.10391,             0.62927,                   0,            0.016099,           0.0050992,           0.0050992
                  45,             0.10114,             0.41295,                   0,             0.27396,             0.12779,             0.12391,            0.031936,             0.10436,             0.73366,                   0,            0.014125,           0.0051254,           0.0051254
                  46,             0.10097,             0.37386,                   0,             0.27396,             0.12779,             0.12391,            0.031936,             0.10436,             0.73366,                   0,            0.012148,           0.0051478,           0.0051478
                  47,             0.10469,             0.44105,                   0,             0.18856,            0.095533,            0.086224,            0.022278,             0.10575,             0.66431,                   0,            0.010166,           0.0051663,           0.0051663
                  48,             0.10216,             0.40904,                   0,             0.18856,            0.095533,            0.086224,            0.022278,             0.10575,             0.66431,                   0,           0.0081809,           0.0051809,           0.0051809
                  49,             0.10264,              0.3391,                   0,             0.27328,              0.2196,             0.17289,            0.048112,             0.10543,               0.647,                   0,           0.0061917,           0.0051917,           0.0051917
                  50,             0.10801,             0.35653,                   0,             0.27328,              0.2196,             0.17289,            0.048112,             0.10543,               0.647,                   0,           0.0051471,           0.0051471,           0.0051471
                  51,             0.10713,             0.38758,                   0,             0.24777,              0.2134,             0.15066,            0.039336,             0.10174,             0.69583,                   0,           0.0051471,           0.0051471,           0.0051471
                  52,             0.10291,             0.36982,                   0,             0.24777,              0.2134,             0.15066,            0.039336,             0.10174,             0.69583,                   0,             0.00505,             0.00505,             0.00505
                  53,             0.10165,             0.36315,                   0,             0.27803,             0.21588,             0.17229,            0.049239,             0.10069,             0.67077,                   0,           0.0049529,           0.0049529,           0.0049529
                  54,             0.10308,             0.40561,                   0,             0.27803,             0.21588,             0.17229,            0.049239,             0.10069,             0.67077,                   0,           0.0048559,           0.0048559,           0.0048559
                  55,             0.10023,             0.37173,                   0,             0.24155,             0.22084,             0.16273,            0.043763,            0.098622,             0.67127,                   0,           0.0047588,           0.0047588,           0.0047588
                  56,            0.097219,              0.3919,                   0,             0.24155,             0.22084,             0.16273,            0.043763,            0.098622,             0.67127,                   0,           0.0046618,           0.0046618,           0.0046618
                  57,             0.09646,             0.38798,                   0,             0.31209,             0.36849,             0.24524,            0.068538,            0.096495,             0.67349,                   0,           0.0045647,           0.0045647,           0.0045647
                  58,            0.095785,             0.44389,                   0,             0.29461,             0.23945,             0.19442,            0.053139,            0.096495,             0.67349,                   0,           0.0044676,           0.0044676,           0.0044676
                  59,             0.09753,             0.35636,                   0,             0.18259,             0.15012,            0.098081,            0.029061,             0.10062,             0.65911,                   0,           0.0043706,           0.0043706,           0.0043706
                  60,             0.10106,             0.41513,                   0,             0.18259,             0.15012,            0.098081,            0.029061,             0.10062,             0.65911,                   0,           0.0042735,           0.0042735,           0.0042735
                  61,            0.099807,             0.31226,                   0,             0.30942,             0.25434,             0.20152,            0.055282,             0.09478,             0.67794,                   0,           0.0041765,           0.0041765,           0.0041765
                  62,            0.092784,             0.43178,                   0,             0.30942,             0.25434,             0.20152,            0.055282,             0.09478,             0.67794,                   0,           0.0040794,           0.0040794,           0.0040794
                  63,            0.094859,             0.40161,                   0,             0.35296,             0.41935,             0.29446,            0.090243,            0.092842,             0.69996,                   0,           0.0039824,           0.0039824,           0.0039824
                  64,            0.094696,             0.38453,                   0,             0.35296,             0.41935,             0.29446,            0.090243,            0.092842,             0.69996,                   0,           0.0038853,           0.0038853,           0.0038853
                  65,            0.092299,             0.34389,                   0,             0.33303,             0.41687,             0.26616,            0.081109,            0.093052,              0.6886,                   0,           0.0037882,           0.0037882,           0.0037882
                  66,            0.090179,             0.35727,                   0,             0.33303,             0.41687,             0.26616,            0.081109,            0.093052,              0.6886,                   0,           0.0036912,           0.0036912,           0.0036912
                  67,            0.094086,             0.42947,                   0,             0.29811,             0.36228,             0.21725,            0.064163,            0.090406,             0.71458,                   0,           0.0035941,           0.0035941,           0.0035941
                  68,             0.09309,             0.40419,                   0,             0.29811,             0.36228,             0.21725,            0.064163,            0.090406,             0.71458,                   0,           0.0034971,           0.0034971,           0.0034971
                  69,            0.092034,             0.39633,                   0,             0.37948,             0.45161,             0.29573,             0.09153,            0.087822,             0.70859,                   0,              0.0034,              0.0034,              0.0034
                  70,            0.092461,             0.40443,                   0,             0.37948,             0.45161,             0.29573,             0.09153,            0.087822,             0.70859,                   0,           0.0033029,           0.0033029,           0.0033029
                  71,            0.088302,             0.35493,                   0,             0.34146,             0.40401,             0.24451,            0.074842,            0.089903,             0.70651,                   0,           0.0032059,           0.0032059,           0.0032059
                  72,            0.091442,               0.451,                   0,             0.34146,             0.40401,             0.24451,            0.074842,            0.089903,             0.70651,                   0,           0.0031088,           0.0031088,           0.0031088
                  73,            0.095678,             0.45604,                   0,             0.36148,             0.42432,              0.2943,            0.094253,            0.087806,             0.71128,                   0,           0.0030118,           0.0030118,           0.0030118
                  74,            0.088101,             0.39362,                   0,             0.36148,             0.42432,              0.2943,            0.094253,            0.087806,             0.71128,                   0,           0.0029147,           0.0029147,           0.0029147
                  75,            0.089253,             0.35721,                   0,             0.34763,             0.41191,              0.2795,            0.088946,            0.084676,             0.70126,                   0,           0.0028176,           0.0028176,           0.0028176
                  76,             0.08653,             0.36194,                   0,             0.34763,             0.41191,              0.2795,            0.088946,            0.084676,             0.70126,                   0,           0.0027206,           0.0027206,           0.0027206
                  77,            0.083122,             0.41589,                   0,             0.36929,             0.44293,             0.30618,            0.093819,            0.087018,             0.74047,                   0,           0.0026235,           0.0026235,           0.0026235
                  78,            0.088428,             0.42237,                   0,             0.36929,             0.44293,             0.30618,            0.093819,            0.087018,             0.74047,                   0,           0.0025265,           0.0025265,           0.0025265
                  79,            0.081726,             0.37189,                   0,             0.36344,             0.44045,             0.30753,            0.097122,            0.084216,               0.732,                   0,           0.0024294,           0.0024294,           0.0024294
                  80,            0.081612,             0.37617,                   0,             0.36344,             0.44045,             0.30753,            0.097122,            0.084216,               0.732,                   0,           0.0023324,           0.0023324,           0.0023324
                  81,            0.086505,             0.36949,                   0,             0.34714,             0.41315,             0.27923,            0.093635,            0.084504,             0.70823,                   0,           0.0022353,           0.0022353,           0.0022353
                  82,            0.083053,             0.47847,                   0,             0.34714,             0.41315,             0.27923,            0.093635,            0.084504,             0.70823,                   0,           0.0021382,           0.0021382,           0.0021382
                  83,            0.093982,             0.46169,                   0,             0.39363,             0.46876,             0.33888,             0.11233,            0.086178,             0.70041,                   0,           0.0020412,           0.0020412,           0.0020412
                  84,            0.081944,             0.34383,                   0,             0.39363,             0.46876,             0.33888,             0.11233,            0.086178,             0.70041,                   0,           0.0019441,           0.0019441,           0.0019441
                  85,            0.088977,             0.38357,                   0,             0.43622,             0.50868,             0.40088,             0.13531,            0.087235,             0.69673,                   0,           0.0018471,           0.0018471,           0.0018471
                  86,            0.082966,             0.36825,                   0,             0.43622,             0.50868,             0.40088,             0.13531,            0.087235,             0.69673,                   0,             0.00175,             0.00175,             0.00175
                  87,            0.082171,             0.36666,                   0,             0.48102,             0.54218,             0.43178,             0.14447,            0.086218,             0.69434,                   0,           0.0016529,           0.0016529,           0.0016529
                  88,            0.084244,             0.45106,                   0,             0.48102,             0.54218,             0.43178,             0.14447,            0.086218,             0.69434,                   0,           0.0015559,           0.0015559,           0.0015559
                  89,            0.083169,             0.45549,                   0,             0.47287,             0.53474,             0.42704,             0.14538,            0.085699,             0.69689,                   0,           0.0014588,           0.0014588,           0.0014588
                  90,            0.086449,             0.43164,                   0,             0.47287,             0.53474,             0.42704,             0.14538,            0.085699,             0.69689,                   0,           0.0013618,           0.0013618,           0.0013618
                  91,            0.081992,             0.45336,                   0,             0.50557,             0.52605,             0.43092,             0.14887,            0.085787,             0.69998,                   0,           0.0012647,           0.0012647,           0.0012647
