               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12207,             0.64683,                   0,                   0,                   0,                   0,                   0,             0.11735,              1.0912,                   0,              0.0991,              0.0001,              0.0001
                   1,             0.11995,             0.49566,                   0,                   0,                   0,                   0,                   0,             0.11671,              1.0852,                   0,              0.0973,          0.00029989,          0.00029989
                   2,             0.12098,             0.51224,                   0,                   0,                   0,                   0,                   0,             0.11592,              1.0772,                   0,              0.0955,          0.00049965,          0.00049965
                   3,             0.12222,             0.42925,                   0,                   0,                   0,                   0,                   0,             0.11499,              1.0685,                   0,            0.093699,          0.00069926,          0.00069926
                   4,             0.12148,             0.52276,                   0,                   0,                   0,                   0,                   0,             0.11399,               1.058,                   0,            0.091899,          0.00089873,          0.00089873
                   5,             0.11798,              0.5599,                   0,                   0,                   0,                   0,                   0,             0.11303,              1.0456,                   0,            0.090098,           0.0010981,           0.0010981
                   6,             0.11795,             0.52485,                   0,                   0,                   0,                   0,                   0,             0.11199,              1.0336,                   0,            0.088297,           0.0012972,           0.0012972
                   7,             0.11782,             0.44291,                   0,                   0,                   0,                   0,                   0,             0.11089,              1.0204,                   0,            0.086496,           0.0014963,           0.0014963
                   8,             0.11414,              0.3471,                   0,                   0,                   0,                   0,                   0,             0.11034,              1.0167,                   0,            0.084695,           0.0016952,           0.0016952
                   9,              0.1154,             0.41831,                   0,                   0,                   0,                   0,                   0,             0.10981,              1.0136,                   0,            0.082894,            0.001894,            0.001894
                  10,             0.12219,             0.37883,                   0,                   0,                   0,                   0,                   0,             0.10929,              1.0089,                   0,            0.081093,           0.0020926,           0.0020926
                  11,              0.1185,              0.4637,                   0,                   0,                   0,                   0,                   0,             0.10887,              1.0052,                   0,            0.079291,           0.0022911,           0.0022911
                  12,             0.11521,             0.39362,                   0,                   0,                   0,                   0,                   0,             0.10855,              1.0026,                   0,            0.077489,           0.0024894,           0.0024894
                  13,             0.11571,              0.4399,                   0,                   0,                   0,                   0,                   0,             0.10836,              1.0007,                   0,            0.075688,           0.0026876,           0.0026876
                  14,             0.11459,             0.44164,                   0,                   0,                   0,                   0,                   0,             0.10812,             0.99728,                   0,            0.073886,           0.0028856,           0.0028856
                  15,             0.11302,             0.45646,                   0,                   0,                   0,                   0,                   0,              0.1079,             0.99431,                   0,            0.072084,           0.0030836,           0.0030836
                  16,             0.11166,             0.42916,                   0,                   0,                   0,                   0,                   0,             0.10767,             0.99188,                   0,            0.070281,           0.0032813,           0.0032813
                  17,             0.11564,             0.36609,                   0,                   0,                   0,                   0,                   0,             0.10752,             0.99067,                   0,            0.068479,            0.003479,            0.003479
                  18,              0.1149,             0.39542,                   0,                   0,                   0,                   0,                   0,             0.10734,             0.98937,                   0,            0.066676,           0.0036765,           0.0036765
                  19,             0.11598,             0.40371,                   0,                   0,                   0,                   0,                   0,             0.10716,             0.98792,                   0,            0.064874,           0.0038738,           0.0038738
                  20,             0.11581,             0.44818,                   0,                   0,                   0,                   0,                   0,             0.10702,             0.98594,                   0,            0.063071,            0.004071,            0.004071
                  21,             0.11159,             0.53992,                   0,                   0,                   0,                   0,                   0,             0.10685,             0.98479,                   0,            0.061268,           0.0042681,           0.0042681
                  22,             0.11362,             0.45838,                   0,                   0,                   0,                   0,                   0,             0.10668,              0.9825,                   0,            0.059465,            0.004465,            0.004465
                  23,             0.11492,             0.50133,                   0,                   0,                   0,                   0,                   0,             0.10653,              0.9807,                   0,            0.057662,           0.0046618,           0.0046618
                  24,             0.11591,             0.47872,                   0,                   0,                   0,                   0,                   0,             0.10638,             0.97898,                   0,            0.055858,           0.0048584,           0.0048584
                  25,             0.11051,             0.38036,                   0,                   0,                   0,                   0,                   0,              0.1063,             0.97863,                   0,            0.054055,           0.0050549,           0.0050549
                  26,             0.11438,             0.40412,                   0,                   0,                   0,                   0,                   0,             0.10624,             0.97851,                   0,            0.052251,           0.0052513,           0.0052513
                  27,             0.11365,              0.4482,                   0,                   0,                   0,                   0,                   0,             0.10624,             0.97851,                   0,            0.050447,           0.0054475,           0.0054475
                  28,             0.11105,             0.44528,                   0,                   0,                   0,                   0,                   0,             0.10625,             0.97814,                   0,            0.048644,           0.0056436,           0.0056436
                  29,             0.11224,             0.54293,                   0,            0.028333,            0.021092,             0.01459,           0.0032348,             0.10627,             0.97643,                   0,             0.04684,           0.0058395,           0.0058395
                  30,             0.11419,             0.40111,                   0,            0.028333,            0.021092,             0.01459,           0.0032348,             0.10627,             0.97643,                   0,            0.045035,           0.0060353,           0.0060353
                  31,             0.11837,             0.47376,                   0,            0.028333,            0.021092,             0.01455,           0.0032313,             0.10628,             0.97495,                   0,            0.043231,           0.0062309,           0.0062309
                  32,             0.11263,             0.53503,                   0,                0.05,             0.01861,            0.025491,           0.0057494,             0.10622,             0.97301,                   0,            0.041426,           0.0064265,           0.0064265
                  33,             0.11067,             0.40175,                   0,               0.025,             0.01861,            0.012768,            0.002879,             0.10622,             0.97301,                   0,            0.039622,           0.0066218,           0.0066218
                  34,             0.11248,             0.41668,                   0,            0.031667,            0.023573,            0.016275,           0.0036573,             0.10632,             0.97205,                   0,            0.037817,           0.0068171,           0.0068171
                  35,             0.11265,             0.34675,                   0,            0.033333,            0.024814,            0.017176,           0.0042595,             0.10638,             0.97318,                   0,            0.036012,           0.0070121,           0.0070121
                  36,             0.11098,             0.48307,                   0,            0.033333,            0.024814,            0.017176,           0.0042595,             0.10638,             0.97318,                   0,            0.034207,           0.0072071,           0.0072071
